G004114375	G004114375_ARCH_REG
G009742825	G009742825_ARCH_REG
G001542905	G001542905_ARCH_REG
G002252985	G002252985_ARCH_REG
G900182635	G900182635_ARCH_REG
G900113615	G900113615_ARCH_REG
G003697845	G003697845_ARCH_REG
G003287355	G003287355_ARCH_REG
G000496175	G000496175_ARCH_REG
G003554605	G003554605_ARCH_REG
G900188065	G900188065_ARCH_REG
G009806985	G009806985_ARCH_REG
G002355635	G002355635_ARCH_REG
G900107205	G900107205_ARCH_REG
G900108505	G900108505_ARCH_REG
G001462205	G001462205_ARCH_REG
G000496235	G000496235_ARCH_REG
G002952775	G002952775_ARCH_REG
G003605575	G003605575_ARCH_REG
G003605635	G003605635_ARCH_REG
G006861655	G006861655_ARCH_REG
G006861665	G006861665_ARCH_REG
G000496215	G000496215_ARCH_REG
G001563795	G001563795_ARCH_REG
G003554115	G003554115_ARCH_REG
G900109065	G900109065_ARCH_REG
G001563965	G001563965_ARCH_REG
G005239175	G005239175_ARCH_REG
G005543295	G005543295_ARCH_REG
G013342525	G013342525_ARCH_REG
G001307315	G001307315_ARCH_REG
G900115675	G900115675_ARCH_REG
G000739555	G000739555_ARCH_REG
G001282785	G001282785_ARCH_REG
G002025255	G002025255_ARCH_REG
G000224475	G000224475_ARCH_REG
G013401515	G013401515_ARCH_REG
G013402875	G013402875_ARCH_REG
G000495475	G000495475_ARCH_REG
G009831625	G009831625_ARCH_REG
G900129775	G900129775_ARCH_REG
G003020945	G003020945_ARCH_REG
G000739575	G000739575_ARCH_REG
G007655485	G007655485_ARCH_REG
G004799685	G004799685_ARCH_REG
G014212355	G014212355_ARCH_REG
G014646875	G014646875_ARCH_REG
G900107195	G900107195_ARCH_REG
G003665925	G003665925_ARCH_REG
G003665935	G003665935_ARCH_REG
G000237865	G000237865_ARCH_REG
G000415965	G000415965_ARCH_REG
G000415985	G000415985_ARCH_REG
G000416005	G000416005_ARCH_REG
G000172995	G000172995_ARCH_REG
G900112175	G900112175_ARCH_REG
G000337095	G000337095_ARCH_REG
G900115785	G900115785_ARCH_REG
G900100875	G900100875_ARCH_REG
G900113245	G900113245_ARCH_REG
G000337795	G000337795_ARCH_REG
G000337835	G000337835_ARCH_REG
G001368915	G001368915_ARCH_REG
G000025685	G000025685_ARCH_REG
G001469875	G001469875_ARCH_REG
G000336775	G000336775_ARCH_REG
G000336815	G000336815_ARCH_REG
G001482285	G001482285_ARCH_REG
G000306765	G000306765_ARCH_REG
G000337815	G000337815_ARCH_REG
G001469865	G001469865_ARCH_REG
G009674605	G009674605_ARCH_REG
G009674585	G009674585_ARCH_REG
G009674625	G009674625_ARCH_REG
G000336755	G000336755_ARCH_REG
G000336955	G000336955_ARCH_REG
G002906575	G002906575_ARCH_REG
G007004735	G007004735_ARCH_REG
G009176545	G009176545_ARCH_REG
G900110465	G900110465_ARCH_REG
G900114455	G900114455_ARCH_REG
G900103715	G900103715_ARCH_REG
G002844195	G002844195_ARCH_REG
G004116405	G004116405_ARCH_REG
G001469955	G001469955_ARCH_REG
G003439925	G003439925_ARCH_REG
G003336245	G003336245_ARCH_REG
G003342675	G003342675_ARCH_REG
G000427685	G000427685_ARCH_REG
G003856835	G003856835_ARCH_REG
G900107665	G900107665_ARCH_REG
G009762275	G009762275_ARCH_REG
G000496195	G000496195_ARCH_REG
G000337615	G000337615_ARCH_REG
G000731985	G000731985_ARCH_REG
G000337175	G000337175_ARCH_REG
G000337195	G000337195_ARCH_REG
G005576615	G005576615_ARCH_REG
G002494345	G002494345_ARCH_REG
G900110865	G900110865_ARCH_REG
G002572525	G002572525_ARCH_REG
G013456555	G013456555_ARCH_REG
G000230735	G000230735_ARCH_REG
G000337115	G000337115_ARCH_REG
G000690595	G000690595_ARCH_REG
G001953745	G001953745_ARCH_REG
G000337475	G000337475_ARCH_REG
G900111485	G900111485_ARCH_REG
G004217335	G004217335_ARCH_REG
G005938085	G005938085_ARCH_REG
G013402815	G013402815_ARCH_REG
G900110455	G900110455_ARCH_REG
G004799645	G004799645_ARCH_REG
G900156475	G900156475_ARCH_REG
G000337735	G000337735_ARCH_REG
G009392895	G009392895_ARCH_REG
G003670115	G003670115_ARCH_REG
G000383975	G000383975_ARCH_REG
G900100335	G900100335_ARCH_REG
G001971705	G001971705_ARCH_REG
G900108095	G900108095_ARCH_REG
G009834785	G009834785_ARCH_REG
G000337495	G000337495_ARCH_REG
G003977755	G003977755_ARCH_REG
G013342135	G013342135_ARCH_REG
G000025325	G000025325_ARCH_REG
G000337215	G000337215_ARCH_REG
G000226975	G000226975_ARCH_REG
G900112205	G900112205_ARCH_REG
G000337895	G000337895_ARCH_REG
G000230715	G000230715_ARCH_REG
G900104065	G900104065_ARCH_REG
G000455365	G000455365_ARCH_REG
G000217715	G000217715_ARCH_REG
G003610195	G003610195_ARCH_REG
G002177135	G002177135_ARCH_REG
G011043775	G011043775_ARCH_REG
G000337575	G000337575_ARCH_REG
G001861355	G001861355_ARCH_REG
G000025625	G000025625_ARCH_REG
G000337135	G000337135_ARCH_REG
G000337535	G000337535_ARCH_REG
G000337595	G000337595_ARCH_REG
G000337555	G000337555_ARCH_REG
G000455345	G000455345_ARCH_REG
G006543045	G006543045_ARCH_REG
G000328685	G000328685_ARCH_REG
G000337695	G000337695_ARCH_REG
G000337675	G000337675_ARCH_REG
G003559215	G003559215_ARCH_REG
G008122205	G008122205_ARCH_REG
G003841465	G003841465_ARCH_REG
G003841485	G003841485_ARCH_REG
G003841505	G003841505_ARCH_REG
G008245225	G008245225_ARCH_REG
G001563805	G001563805_ARCH_REG
G003430825	G003430825_ARCH_REG
G002156705	G002156705_ARCH_REG
G001563885	G001563885_ARCH_REG
G000691505	G000691505_ARCH_REG
G900116205	G900116205_ARCH_REG
G000517625	G000517625_ARCH_REG
G001564285	G001564285_ARCH_REG
G003552325	G003552325_ARCH_REG
G001564275	G001564275_ARCH_REG
G000328525	G000328525_ARCH_REG
G000337515	G000337515_ARCH_REG
G007135505	G007135505_ARCH_REG
G007119345	G007119345_ARCH_REG
G001564115	G001564115_ARCH_REG
G003552885	G003552885_ARCH_REG
G001564255	G001564255_ARCH_REG
G003344565	G003344565_ARCH_REG
G011440375	G011440375_ARCH_REG
G900103505	G900103505_ARCH_REG
G003023565	G003023565_ARCH_REG
G003675875	G003675875_ARCH_REG
G005954745	G005954745_ARCH_REG
G003675855	G003675855_ARCH_REG
G004785955	G004785955_ARCH_REG
G900215575	G900215575_ARCH_REG
G003022865	G003022865_ARCH_REG
G003023195	G003023195_ARCH_REG
G000403645	G000403645_ARCH_REG
G003369835	G003369835_ARCH_REG
G010747475	G010747475_ARCH_REG
G005239435	G005239435_ARCH_REG
G004087835	G004087835_ARCH_REG
G004765815	G004765815_ARCH_REG
G004765785	G004765785_ARCH_REG
G003382685	G003382685_ARCH_REG
G004765805	G004765805_ARCH_REG
G003023465	G003023465_ARCH_REG
G004765795	G004765795_ARCH_REG
G004143485	G004143485_ARCH_REG
G008831545	G008831545_ARCH_REG
G000376445	G000376445_ARCH_REG
G001625445	G001625445_ARCH_REG
G000710615	G000710615_ARCH_REG
G900156425	G900156425_ARCH_REG
G003298465	G003298465_ARCH_REG
G000336895	G000336895_ARCH_REG
G012726115	G012726115_ARCH_REG
G000336635	G000336635_ARCH_REG
G000011085	G000011085_ARCH_REG
G001485575	G001485575_ARCH_REG
G000223905	G000223905_ARCH_REG
G000336615	G000336615_ARCH_REG
G008729015	G008729015_ARCH_REG
G001280425	G001280425_ARCH_REG
G002844335	G002844335_ARCH_REG
G000337775	G000337775_ARCH_REG
G005406125	G005406125_ARCH_REG
G010119195	G010119195_ARCH_REG
G004681185	G004681185_ARCH_REG
G010119205	G010119205_ARCH_REG
G014647235	G014647235_ARCH_REG
G003020925	G003020925_ARCH_REG
G003021755	G003021755_ARCH_REG
G000023965	G000023965_ARCH_REG
G000379085	G000379085_ARCH_REG
G009617995	G009617995_ARCH_REG
G003021685	G003021685_ARCH_REG
G900114435	G900114435_ARCH_REG
G013415885	G013415885_ARCH_REG
G013415905	G013415905_ARCH_REG
G000337455	G000337455_ARCH_REG
G004698125	G004698125_ARCH_REG
G003023165	G003023165_ARCH_REG
G003730195	G003730195_ARCH_REG
G003021305	G003021305_ARCH_REG
G003021655	G003021655_ARCH_REG
G003023785	G003023785_ARCH_REG
G004944975	G004944975_ARCH_REG
G900880625	G900880625_ARCH_REG
G009690625	G009690625_ARCH_REG
G013839425	G013839425_ARCH_REG
G000023945	G000023945_ARCH_REG
G000470655	G000470655_ARCH_REG
G003058365	G003058365_ARCH_REG
G004799665	G004799665_ARCH_REG
G009741825	G009741825_ARCH_REG
G003021015	G003021015_ARCH_REG
G003022845	G003022845_ARCH_REG
G003022725	G003022725_ARCH_REG
G003022085	G003022085_ARCH_REG
G003021335	G003021335_ARCH_REG
G003551265	G003551265_ARCH_REG
G900100385	G900100385_ARCH_REG
G003021285	G003021285_ARCH_REG
G004015825	G004015825_ARCH_REG
G009831575	G009831575_ARCH_REG
G001564135	G001564135_ARCH_REG
G003551945	G003551945_ARCH_REG
G000416085	G000416085_ARCH_REG
G003022745	G003022745_ARCH_REG
G003023485	G003023485_ARCH_REG
G009831455	G009831455_ARCH_REG
G009789175	G009789175_ARCH_REG
G004118325	G004118325_ARCH_REG
G900102305	G900102305_ARCH_REG
G900110215	G900110215_ARCH_REG
G001989615	G001989615_ARCH_REG
G005049285	G005049285_ARCH_REG
G003021105	G003021105_ARCH_REG
G003022945	G003022945_ARCH_REG
G003023535	G003023535_ARCH_REG
G003020965	G003020965_ARCH_REG
G003022815	G003022815_ARCH_REG
G003022905	G003022905_ARCH_REG
G003021005	G003021005_ARCH_REG
G003021745	G003021745_ARCH_REG
G003021325	G003021325_ARCH_REG
G000591055	G000591055_ARCH_REG
G013839515	G013839515_ARCH_REG
G005239135	G005239135_ARCH_REG
G007121575	G007121575_ARCH_REG
G000026045	G000026045_ARCH_REG
G009741925	G009741925_ARCH_REG
G013391635	G013391635_ARCH_REG
G013391085	G013391085_ARCH_REG
G013391105	G013391105_ARCH_REG
G007135435	G007135435_ARCH_REG
G007122455	G007122455_ARCH_REG
G001950595	G001950595_ARCH_REG
G009184545	G009184545_ARCH_REG
G003021785	G003021785_ARCH_REG
G003021175	G003021175_ARCH_REG
G003023185	G003023185_ARCH_REG
G003020985	G003020985_ARCH_REG
G007421925	G007421925_ARCH_REG
G003022005	G003022005_ARCH_REG
G003021975	G003021975_ARCH_REG
G009791395	G009791395_ARCH_REG
G003862495	G003862495_ARCH_REG
G000336695	G000336695_ARCH_REG
G000336715	G000336715_ARCH_REG
G000755245	G000755245_ARCH_REG
G000336675	G000336675_ARCH_REG
G009900715	G009900715_ARCH_REG
G000334895	G000334895_ARCH_REG
G003022685	G003022685_ARCH_REG
G000336915	G000336915_ARCH_REG
G000336935	G000336935_ARCH_REG
G003021045	G003021045_ARCH_REG
G003021235	G003021235_ARCH_REG
